"enrol_id","foe_code","eftsl","student_contribution","commonwealth_contribution","tuition_amount","enrol_unit"
"81226","100101","0.250","2237.00","3728.75","5965.75",2
"81227","010901","2.000","17896.00","36584.00","54480.00",16
"81228","010103","0.250","1111.25","3728.75","4840.00",2
"81229","060101","0.375","4770.00","11398.13","16168.13",3
"81230","010101","0.750","3333.75","11186.25","14520.00",6
"81231","091500","0.375","1666.88","5593.13","7260.00",3
"81232","010103","0.125","555.63","1864.38","2420.00",1
"81233","091901","0.375","6121.13","463.50","6584.63",3
"81234","090300","0.750","12242.25","927.00","13169.25",6
"81235","100701","0.500","8161.50","618.00","8779.50",4
"81236","010103","1.000","4445.00","14915.00","19360.00",8
"81237","010901","0.125","1118.50","2286.50","3405.00",1
"81238","019901","1.125","10066.50","20578.50","30645.00",9
"81239","019901","3.375","30199.50","61735.50","91935.00",27
"81240","091901","0.375","6121.13","463.50","6584.63",3
"81241","010901","0.375","3355.50","6859.50","10215.00",3
"81242","091505","1.125","5000.63","20578.50","25579.13",9
"81243","080301","0.375","6121.13","463.50","6584.63",3
"81244","010901","0.250","2237.00","4573.00","6810.00",2
"81245","100101","0.125","1118.50","1864.38","2982.88",1
"81246","100101","0.250","2237.00","3728.75","5965.75",2
"81247","010301","0.250","2237.00","4573.00","6810.00",2
"81248","010500","0.750","6711.00","13719.00","20430.00",6
"81249","010503","0.750","6711.00","13719.00","20430.00",6
"81250","010101","0.750","3333.75","11186.25","14520.00",6
"81251","091505","0.250","1111.25","4573.00","5684.25",2
"81252","100101","1.000","8948.00","14915.00","23863.00",8
"81253","100101","0.500","4474.00","7457.50","11931.50",4
"81254","010500","1.000","8948.00","18292.00","27240.00",8
"81255","091505","0.125","555.63","2286.50","2842.13",1
"81256","091901","0.375","6121.13","463.50","6584.63",3
"81257","091901","0.375","6121.13","463.50","6584.63",3
"81258","091523","0.250","1111.25","3728.75","4840.00",2
"81259","090399","1.500","24484.50","1854.00","26338.50",12
"81260","010911","0.875","7829.50","16005.50","23835.00",7
"81261","091901","0.375","6121.13","463.50","6584.63",3
"81262","061399","0.250","2237.00","3728.75","5965.75",2
"81263","010101","0.125","555.63","1864.38","2420.00",1
"81264","061713","0.125","1118.50","1864.38","2982.88",1
"81265","030701","0.125","1118.50","2286.50","3405.00",1
"81266","019907","0.875","7829.50","16005.50","23835.00",7
"81267","010301","0.375","3355.50","6859.50","10215.00",3
"81268","061399","0.500","4474.00","7457.50","11931.50",4
"81269","100100","0.375","3355.50","5593.13","8948.63",3
"81270","109999","0.250","2237.00","3728.75","5965.75",2
"81271","019999","1.500","13422.00","27438.00","40860.00",12
"81272","029999","0.375","3355.50","5593.13","8948.63",3
"81273","081101","0.500","8161.50","618.00","8779.50",4
"81274","091505","0.125","555.63","2286.50","2842.13",1
"81275","100100","0.500","4474.00","7457.50","11931.50",4
"81276","089999","0.625","10201.88","772.50","10974.38",5
"81277","081101","0.375","6121.13","463.50","6584.63",3
"81278","091505","0.875","3889.38","16005.50","19894.88",7
"81279","010103","0.125","555.63","1864.38","2420.00",1
"81280","050100","0.375","1666.88","11398.13","13065.00",3
"81281","089999","0.750","12242.25","927.00","13169.25",6
"81282","099999","1.000","16323.00","1236.00","17559.00",8
"81283","091599","1.500","6667.50","22372.50","29040.00",12
"81284","091503","1.250","5556.25","22865.00","28421.25",10
"81285","100101","0.375","3355.50","5593.13","8948.63",3
"81286","010915","0.125","1118.50","2286.50","3405.00",1
"81287","090399","0.125","2040.38","154.50","2194.88",1
